title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
卧龙小区 2室1厅 86.23平米,2019.08.28,卧龙小区,2室1厅1厨1卫,高楼层(共16层),86.23㎡,塔楼,南 西南,1996,101103462893,2018-10-04,满两年,749,2,772,328,1,31,208,7633
卧龙小区 4室2厅 184.7平米,2019.09,卧龙小区,4室2厅1厨2卫,低楼层(共18层),184.7㎡,塔楼,南 西北,1997,101104687814,2019-05-10,满五年,1119-1142,1,1165,114,0,6,32,1470
卧龙小区 2室1厅 102.93平米,2019.09,卧龙小区,2室1厅1厨1卫,低楼层(共16层),102.93㎡,塔楼,东南,1996,101104634414,2019-05-03,满五年,852-869,1,916,121,1,43,47,1181
卧龙小区 2室2厅 101.48平米,2019.09,卧龙小区,2室2厅1厨1卫,中楼层(共7层),101.48㎡,板楼,南 北,1996,BJ0031432582,2019-10-11,暂无数据,836-923,2,暂无数据,暂无数据,0,0,0,暂无数据
卧龙小区 4室2厅 211.35平米,2019.09.18,卧龙小区,4室2厅1厨3卫,高楼层(共24层),211.35㎡,塔楼,东北,1997,101104651909,2019-05-05,满五年,1130,2,1160,136,1,47,94,2156
卧龙小区 2室1厅 81.85平米,2019.07.03,卧龙小区,2室1厅1厨1卫,中楼层(共5层),81.85㎡,板楼,西南,1998,101104287541,2019-03-16,满两年,690,1,686,109,1,61,63,1241
卧龙小区 3室2厅 153.29平米,2019.07.12,卧龙小区,3室2厅1厨2卫,中楼层(共14层),153.29㎡,板塔结合,南 北,1998,101104432697,2019-04-05,满五年,1045,1,1150,99,0,68,115,2884
卧龙小区 2室2厅 78.18平米,2019.07.21,卧龙小区,2室2厅1厨1卫,中楼层(共7层),78.18㎡,板楼,南 北,1995,101105028131,2019-06-24,满五年,708,1,750,27,1,0,37,422
卧龙小区 1室1厅 54.39平米,2019.07.22,卧龙小区,1室1厅1厨1卫,中楼层(共6层),54.39㎡,板楼,南,1996,101103943924,2019-01-05,满五年,537,1,545,198,1,9,3,13
卧龙小区 2室1厅 67.4平米,2019.07.24,卧龙小区,2室1厅1厨1卫,底层(共6层),67.4㎡,板楼,东 南,1996,101105211068,2019-07-14,满五年,620,1,632,11,1,5,24,185
卧龙小区 4室2厅 133.34平米,2019.07.28,卧龙小区,4室2厅1厨2卫,高楼层(共7层),133.34㎡,板楼,南 北,1995,101104082507,2019-02-17,满五年,955,2,990,161,0,27,162,3645
卧龙小区 2室1厅 73.68平米,2019.07,卧龙小区,2室1厅1厨1卫,底层(共7层),73.68㎡,板楼,南 北,1996,101104815881,2019-05-28,暂无数据,710-731,2,735,35,1,34,0,7
卧龙小区 2室1厅 67.4平米,2019.07.31,卧龙小区,2室1厅1厨1卫,低楼层(共6层),67.4㎡,板楼,东南,1996,101105312057,2019-07-26,暂无数据,630,1,655,5,0,7,0,4
卧龙小区 3室1厅 113.06平米,2019.08,卧龙小区,3室1厅1厨2卫,低楼层(共16层),113.06㎡,塔楼,西南,1996,101102834695,2018-05-04,满两年,850-867,2,875,454,1,68,372,10838
卧龙小区 2室1厅 86.23平米,2019.06.28,卧龙小区,2室1厅1厨1卫,低楼层(共16层),86.23㎡,塔楼,东南,1996,101104297171,2019-03-18,满两年,730,1,770,103,0,44,0,16
卧龙小区 2室2厅 83.53平米,2019.06.30,卧龙小区,2室2厅1厨1卫,中楼层(共6层),83.53㎡,板楼,南 北,1995,101105054005,2019-06-27,满五年,782,1,790,4,0,5,19,97
卧龙小区 3室2厅 105.31平米,2019.07,卧龙小区,3室2厅1厨1卫,低楼层(共7层),105.31㎡,板楼,南 西 北,1996,101104536963,2019-04-19,满五年,920-941,1,950,73,0,1,25,716
卧龙小区 3室1厅 67.88平米,2019.07,卧龙小区,3室1厅1厨2卫,顶层(共6层),67.88㎡,板楼,南,1996,101103715623,2018-11-15,满五年,646-659,1,700,228,1,9,6,109
卧龙小区 4室1厅 171.1平米,2019.07,卧龙小区,4室1厅1厨2卫,中楼层(共14层),171.1㎡,板塔结合,东北,1998,101104997436,2019-06-20,暂无数据,901-920,1,928,11,0,6,37,475
卧龙小区 2室1厅 67.7平米,2019.05.16,卧龙小区,2室1厅1厨1卫,中楼层(共6层),67.7㎡,板楼,东南,1996,101104414969,2019-04-02,暂无数据,630,1,650,44,1,52,0,17
卧龙小区 3室1厅 144.32平米,2019.06,卧龙小区,3室1厅1厨2卫,低楼层(共12层),144.32㎡,板塔结合,南 北,1998,101104547364,2019-04-20,满五年,901-930,1,980,42,0,13,126,1674
卧龙小区 1室1厅 63.95平米,2019.06.25,卧龙小区,1室1厅1厨1卫,高楼层(共6层),63.95㎡,板楼,西南,1996,101105004654,2019-06-21,满五年,500,1,480,4,0,0,30,77
