title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
慧忠里 2室1厅 57.65平米,2019.09.25,慧忠里,2室1厅1厨1卫,高楼层(共6层),57.65㎡,板楼,南 北,1994,101105570016,2019-08-25,满五年,527,1,535,31,1,31,28,654
慧忠里 1室1厅 47.99平米,2019.08.29,慧忠里,1室1厅1厨1卫,顶层(共6层),47.99㎡,板楼,南 北,1990,101105169834,2019-07-09,暂无数据,415,1,425,52,0,3,1,暂无数据
慧忠里 2室1厅 44.53平米,2019.09,慧忠里,2室1厅1厨1卫,中楼层(共6层),44.53㎡,板楼,东南 西南,1993,BJ0031432562,2019-10-11,暂无数据,421-430,1,暂无数据,暂无数据,0,0,0,暂无数据
慧忠里 3室1厅 77.04平米,2019.09,慧忠里,3室1厅1厨1卫,高楼层(共6层),77.04㎡,板楼,南 北,1993,101103359446,2018-09-19,满五年,681-690,1,721,347,1,55,19,686
慧忠里 2室1厅 46.96平米,2019.09,慧忠里,2室1厅1厨1卫,顶层(共6层),46.96㎡,板楼,南 北,1994,101105175062,2019-07-09,满五年,452-461,1,476,54,1,38,70,1096
慧忠里 2室1厅 62.81平米,2019.09,慧忠里,2室1厅1厨1卫,顶层(共6层),62.81㎡,板楼,南 北,1993,101105047586,2019-06-27,满五年,515-526,1,525,67,1,53,52,1304
慧忠里 1室1厅 47.15平米,2019.09,慧忠里,1室1厅1厨1卫,中楼层(共6层),47.15㎡,板楼,东南,1992,BJ0031432569,2019-10-11,暂无数据,410-421,1,暂无数据,暂无数据,0,0,0,暂无数据
慧忠里 3室1厅 70平米,2019.09,慧忠里,3室1厅1厨1卫,顶层(共6层),70㎡,板楼,南 北,1990,BJ0031432638,2019-10-11,暂无数据,537-594,1,暂无数据,暂无数据,0,0,0,暂无数据
慧忠里 2室1厅 57.51平米,2019.09,慧忠里,2室1厅1厨1卫,中楼层(共6层),57.51㎡,板楼,南 北,1993,101104597829,2019-04-28,满五年,542-553,1,560,127,0,12,37,818
慧忠里 1室1厅 40.8平米,2019.09.03,慧忠里,1室1厅1厨1卫,中楼层(共6层),40.8㎡,板楼,南 北,1993,101105613643,2019-08-30,满五年,410,1,426,4,0,0,7,34
慧忠里 2室1厅 63.89平米,2019.09.05,慧忠里,2室1厅1厨1卫,中楼层(共6层),63.89㎡,板楼,南 北,1996,101105266078,2019-07-20,满五年,545,1,558,47,1,21,48,1171
