title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
东直门南大街 1室1厅 42.02平米,2020.01.14,东直门南大街,1室1厅1厨1卫,高楼层(共18层),42.02㎡,板塔结合,东,1990,101106407400,2019-12-01,满五年,435,1,450,45,1,38,32,暂无数据
东直门南大街 3室1厅 93.66平米,2019.04.22,东直门南大街,3室1厅1厨1卫,中楼层(共18层),93.66㎡,板塔结合,南,1991,101104427611,2019-04-04,满五年,800,1,830,18,0,20,27,667
东直门南大街 3室1厅 93.66平米,2019.06.16,东直门南大街,3室1厅1厨1卫,中楼层(共18层),93.66㎡,板塔结合,南,1991,101104117761,2019-02-22,满五年,788,1,815,115,1,72,110,3508
东直门南大街 3室1厅 80.17平米,2019.06.19,东直门南大街,3室1厅1厨1卫,高楼层(共18层),80.17㎡,板塔结合,西北,1991,101102875056,2018-05-16,满五年,683,1,695,400,1,66,163,9751
东直门南大街 1室1厅 47.18平米,2019.07.19,东直门南大街,1室1厅1厨1卫,高楼层(共18层),47.18㎡,板塔结合,南,1990,101104478380,2019-04-11,满两年,472,2,479,100,1,10,52,1855
东直门南大街 1室1厅 39.93平米,2019.08.14,东直门南大街,1室1厅1厨1卫,高楼层(共18层),39.93㎡,塔楼,西,1991,101105277045,2019-07-22,满五年,415,1,415,23,0,17,15,243
东直门南大街 2室1厅 57.67平米,2019.08.23,东直门南大街,2室1厅1厨1卫,高楼层(共18层),57.67㎡,板塔结合,东 北,1991,101105332534,2019-07-29,满五年,512,1,550,26,0,11,5,289
东直门南大街 3室1厅 89.39平米,2019.08.28,东直门南大街,3室1厅1厨1卫,顶层(共18层),89.39㎡,板塔结合,南,1990,101105282145,2019-07-23,满五年,736,1,785,37,1,8,22,596
东直门南大街 1室1厅 49平米,2019.09,东直门南大街,1室1厅1厨1卫,中楼层(共18层),49㎡,板塔结合,东,1990,BJ0032163822,2019-12-05,暂无数据,434-479,1,暂无数据,暂无数据,0,0,0,暂无数据
东直门南大街 1室1厅 39.93平米,2019.09.05,东直门南大街,1室1厅1厨1卫,高楼层(共18层),39.93㎡,塔楼,西,1991,101105304526,2019-07-25,满两年,417,2,425,42,0,9,20,1144
东直门南大街 2室1厅 65.33平米,2019.12.29,东直门南大街,2室1厅1厨1卫,高楼层(共18层),65.33㎡,塔楼,东南,1991,101106618218,2019-12-25,暂无数据,620,1,638,4,0,2,0,暂无数据
东直门南大街 2室1厅 56.4平米,2020.01.09,东直门南大街,2室1厅1厨1卫,高楼层(共18层),56.4㎡,塔楼,南,1991,101104987794,2019-06-19,满五年,498,2,526,204,1,34,193,2564
东直门南大街 2室1厅 63.29平米,2018.09.25,东直门南大街,2室1厅1厨1卫,高楼层(共18层),63.29㎡,板塔结合,西南,1991,101103072253,2018-07-10,暂无数据,559,1,580,77,1,33,68,1875
东直门南大街 1室1厅 47.18平米,2018.12,东直门南大街,1室1厅1厨1卫,高楼层(共18层),47.18㎡,板塔结合,南,1990,101103299673,2018-09-07,满五年,427-471,1,470,85,1,26,28,2520
东直门南大街 2室1厅 57.99平米,2018.12,东直门南大街,2室1厅1厨1卫,高楼层(共18层),57.99㎡,塔楼,东北,1991,101103604019,2018-10-27,满五年,483-534,1,510,35,1,24,28,2171
东直门南大街 3室1厅 84.28平米,2019.01.13,东直门南大街,3室1厅1厨1卫,低楼层(共18层),84.28㎡,塔楼,西南,1991,101103209714,2018-08-16,满两年,720,1,740,150,1,21,23,4271
东直门南大街 2室1厅 61.59平米,2018.05.13,东直门南大街,2室1厅1厨1卫,低楼层(共18层),61.59㎡,板塔结合,东 北,1991,101102676665,2018-03-20,暂无数据,565,1,580,54,1,15,18,1368
东直门南大街 1室1厅 46.36平米,2018.05.18,东直门南大街,1室1厅1厨1卫,高楼层(共18层),46.36㎡,板塔结合,西,1991,101102676454,2018-03-20,满五年,418,1,436,59,1,2,33,1631
东直门南大街 3室1厅 84.28平米,2018.07,东直门南大街,3室1厅1厨1卫,高楼层(共18层),84.28㎡,塔楼,西南,1991,101102957764,2018-06-08,满五年,694-767,1,770,23,0,17,51,1403
东直门南大街 3室1厅 73.01平米,2018.07.31,东直门南大街,3室1厅1厨1卫,高楼层(共18层),73.01㎡,板塔结合,东北,1990,101102897377,2018-05-22,满五年,646,1,670,71,0,52,81,2455
东直门南大街 1室1厅 39.93平米,2019.01.24,东直门南大街,1室1厅1厨1卫,中楼层(共18层),39.93㎡,塔楼,南,1991,101103160219,2018-08-03,满五年,399,1,425,174,1,12,125,5622
东直门南大街 1室1厅 46.36平米,2019.02.17,东直门南大街,1室1厅1厨1卫,低楼层(共18层),46.36㎡,板塔结合,西,1991,101103843955,2018-12-12,暂无数据,416,1,426,67,1,21,24,1742
东直门南大街 1室1厅 46.36平米,2019.03,东直门南大街,1室1厅1厨1卫,低楼层(共18层),46.36㎡,板塔结合,西,1991,101104233936,2019-03-09,暂无数据,414-457,1,440,暂无数据,0,10,9,195
东直门南大街 1室1厅 39.93平米,2019.03.08,东直门南大街,1室1厅1厨1卫,低楼层(共18层),39.93㎡,塔楼,西,1991,101104130843,2019-02-24,满五年,415,1,430,13,0,3,5,199
