title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
和平里三区 2室1厅 58.5平米,2019.07.29,和平里三区,2室1厅1厨1卫,中楼层(共6层),58.5㎡,板楼,南 北,1996,101105319629,2019-07-27,暂无数据,652,1,668,2,0,6,0,5
和平里三区 1室1厅 46.13平米,2018.07.29,和平里三区,1室1厅1厨1卫,中楼层(共6层),46.13㎡,板楼,南,1996,101103119076,2018-07-23,满五年,512,1,530,7,0,8,19,418
和平里三区 2室1厅 57.68平米,2018.08.03,和平里三区,2室1厅1厨1卫,顶层(共6层),57.68㎡,板楼,东 西,1996,101102732084,2018-04-04,暂无数据,574,1,580,121,1,20,115,3213
和平里三区 2室1厅 58.18平米,2018.08.06,和平里三区,2室1厅1厨1卫,低楼层(共6层),58.18㎡,板楼,南,1996,101103167446,2018-08-05,暂无数据,648,1,660,1,0,1,0,暂无数据
和平里三区 1室1厅 40.57平米,2018.09.09,和平里三区,1室1厅1厨1卫,底层(共6层),40.57㎡,板楼,西南,1996,101103033592,2018-06-30,满五年,463,1,480,72,0,32,42,1236
和平里三区 1室1厅 40.57平米,2018.09.14,和平里三区,1室1厅1厨1卫,中楼层(共6层),40.57㎡,板楼,东南,1996,101103154065,2018-08-02,满五年,475,1,485,43,0,45,70,2498
和平里三区 1室1厅 40.57平米,2018.09.19,和平里三区,1室1厅1厨1卫,低楼层(共6层),40.57㎡,板楼,东 西南,1996,101103093454,2018-07-15,暂无数据,460,1,467,66,1,22,4,185
和平里三区 1室1厅 40.57平米,2018.10.17,和平里三区,1室1厅1厨1卫,中楼层(共6层),40.57㎡,板楼,东南,1996,101103413605,2018-09-25,暂无数据,460,2,480,23,0,3,0,暂无数据
和平里三区 2室1厅 57.87平米,2018.11.27,和平里三区,2室1厅1厨1卫,低楼层(共6层),57.87㎡,板楼,南 北,1996,101103409541,2018-09-23,满五年,625,1,630,66,0,16,19,328
和平里三区 1室1厅 44平米,2019.01,和平里三区,1室1厅1厨1卫,低楼层(共6层),44㎡,板楼,东 南 西,1996,101104200016,2019-03-05,满两年,498-551,1,510,暂无数据,1,39,61,2414
和平里三区 2室1厅 58.31平米,2019.01.08,和平里三区,2室1厅1厨1卫,中楼层(共6层),58.31㎡,板楼,南 北,1996,101103863921,2018-12-17,暂无数据,638,1,650,23,0,6,0,4
和平里三区 1室1厅 46.13平米,2019.02.26,和平里三区,1室1厅1厨1卫,顶层(共6层),46.13㎡,板楼,南,1996,101103627736,2018-10-31,暂无数据,465,1,475,118,1,48,98,3972
和平里三区 2室1厅 57.53平米,2019.03.06,和平里三区,2室1厅1厨1卫,顶层(共6层),57.53㎡,板楼,东 西,1996,101103759399,2018-11-24,满五年,560,1,590,103,1,56,49,2763
