title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
土儿胡同 2室1厅 66.93平米,2019.11.26,土儿胡同,2室1厅1厨1卫,底层(共6层),66.93㎡,板楼,南 北,2003,101106304632,2019-11-18,满五年,830,1,840,8,1,11,3,144
土儿胡同 2室1厅 67平米,2016.11.23,土儿胡同,2室1厅1厨1卫,中楼层(共6层),67㎡,板楼,南 北,2003,101100604776,2016-09-19,满五年,830,1,840,65,1,87,129,2378
土儿胡同 2室1厅 69.43平米,2017.01.13,土儿胡同,2室1厅1厨1卫,中楼层(共6层),69.43㎡,板楼,东 南 北,2002,101101035704,2017-01-04,满五年,885,1,885,9,0,15,31,1426
土儿胡同 2室1厅 58.48平米,2017.02.06,土儿胡同,2室1厅1厨1卫,底层(共4层),58.48㎡,板楼,南 北,1990,101101103268,2017-02-04,暂无数据,760,1,760,2,0,5,14,860
土儿胡同 2室1厅 69.06平米,2017.02.26,土儿胡同,2室1厅1厨1卫,底层(共6层),69.06㎡,板楼,南 北,2002,101101143840,2017-02-09,满两年,950,1,960,17,0,53,55,20636
土儿胡同 2室1厅 69.88平米,2017.02.28,土儿胡同,2室1厅1厨1卫,底层(共6层),69.88㎡,板楼,南 北,2002,101101206422,2017-02-20,满五年,960,1,970,9,0,1,29,1471
土儿胡同 2室1厅 73.59平米,2017.03.13,土儿胡同,2室1厅1厨1卫,中楼层(共6层),73.59㎡,板楼,南 北,2002,101101102179,2017-02-04,满五年,1050,1,1103,38,1,21,65,2771
土儿胡同 2室1厅 69.69平米,2017.07,土儿胡同,2室1厅1厨1卫,中楼层(共6层),69.69㎡,板楼,南 北,2002,101101609574,2017-05-22,满五年,893-987,1,1037,40,1,14,21,518
土儿胡同 3室2厅 121.07平米,2017.07.17,土儿胡同,3室2厅1厨2卫,顶层(共6层),121.07㎡,板楼,南 北,2002,101101480114,2017-04-16,满五年,1185,1,1370,93,1,28,193,9752
土儿胡同 2室1厅 67.66平米,2017.09,土儿胡同,2室1厅1厨1卫,高楼层(共6层),67.66㎡,板楼,南 北,2002,101102003204,2017-08-27,满五年,803-888,1,880,5,1,19,37,1255
土儿胡同 2室1厅 69.88平米,2018.01.11,土儿胡同,2室1厅1厨1卫,中楼层(共5层),69.88㎡,板楼,南 北,2002,101102475029,2018-01-09,满五年,845,1,860,2,0,1,0,暂无数据
土儿胡同 3室2厅 121.01平米,2018.01.20,土儿胡同,3室2厅1厨2卫,顶层(共6层),121.01㎡,板楼,南 北,2002,101102021277,2017-09-01,满两年,1142,2,1290,141,1,6,71,4154
土儿胡同 2室1厅 69.88平米,2018.02.28,土儿胡同,2室1厅1厨1卫,高楼层(共6层),69.88㎡,板楼,南 北,2002,101102013923,2017-08-30,暂无数据,825,1,896,182,1,28,60,4525
土儿胡同 2室1厅 69.88平米,2018.03,土儿胡同,2室1厅1厨1卫,底层(共6层),69.88㎡,板楼,南 北,2002,101102501754,2018-01-19,满五年,790-873,1,845,42,1,27,42,3051
土儿胡同 3室1厅 83.61平米,2018.03.18,土儿胡同,3室1厅1厨1卫,顶层(共6层),83.61㎡,板楼,西南,2002,101102230654,2017-10-25,满五年,1035,1,1100,145,0,20,42,2883
土儿胡同 2室1厅 69.69平米,2018.04,土儿胡同,2室1厅1厨1卫,底层(共6层),69.69㎡,板楼,南 北,2002,BJ0004215932,2018-05-23,暂无数据,770-851,1,暂无数据,暂无数据,0,0,0,暂无数据
土儿胡同 2室1厅 69.88平米,2018.04.22,土儿胡同,2室1厅1厨1卫,低楼层(共6层),69.88㎡,板楼,南 北,2002,101102411691,2017-12-18,满五年,842,1,850,126,1,95,59,4796
土儿胡同 2室1厅 69.69平米,2018.05.07,土儿胡同,2室1厅1厨1卫,低楼层(共6层),69.69㎡,板楼,东 西,2003,101102565639,2018-02-23,满五年,794,1,840,73,0,31,31,2381
土儿胡同 2室1厅 69.93平米,2018.08,土儿胡同,2室1厅1厨1卫,底层(共6层),69.93㎡,板楼,南 北,2002,101102802208,2018-04-24,满五年,779-861,1,850,99,1,19,55,2728
土儿胡同 1室1厅 37.97平米,2018.09.30,土儿胡同,1室1厅1厨1卫,顶层(共4层),37.97㎡,板楼,南,1990,101103314792,2018-09-11,满五年,535,1,560,20,0,3,2,234
土儿胡同 2室1厅 69.88平米,2018.10,土儿胡同,2室1厅1厨1卫,中楼层(共6层),69.88㎡,板楼,南 北,2002,101103002640,2018-06-21,满两年,800-885,2,860,102,1,11,0,暂无数据
土儿胡同 2室1厅 73.81平米,2018.11,土儿胡同,2室1厅1厨1卫,低楼层(共6层),73.81㎡,板楼,南 北,2002,101103725178,2018-11-17,满五年,846-935,1,930,暂无数据,0,5,10,610
土儿胡同 2室1厅 69.06平米,2018.12,土儿胡同,2室1厅1厨1卫,中楼层(共6层),69.06㎡,板楼,南 北,2003,101103674870,2018-11-08,满五年,789-872,1,870,23,1,5,16,1365
土儿胡同 2室1厅 69.69平米,2019.02.28,土儿胡同,2室1厅1厨1卫,底层(共6层),69.69㎡,板楼,南 北,2002,101103954771,2019-01-07,满五年,860,1,890,53,0,1,20,1388
土儿胡同 2室1厅 69.88平米,2019.03,土儿胡同,2室1厅1厨1卫,底层(共6层),69.88㎡,板楼,南 北,2002,101104114750,2019-02-22,满五年,817-903,1,860,7,0,24,24,474
土儿胡同 3室1厅 94.95平米,2019.03.02,土儿胡同,3室1厅1厨1卫,高楼层(共6层),94.95㎡,板楼,南 北,2002,101103919866,2018-12-31,满五年,1149,1,1200,62,0,36,33,1767
土儿胡同 2室1厅 69.88平米,2019.03.28,土儿胡同,2室1厅1厨1卫,底层(共6层),69.88㎡,板楼,南 北,2002,101104002210,2019-01-20,暂无数据,843,1,850,68,0,5,0,17
土儿胡同 2室1厅 69.17平米,2019.07.31,土儿胡同,2室1厅1厨1卫,低楼层(共6层),69.17㎡,板楼,东 南 北,2002,101105325270,2019-07-28,暂无数据,858,1,880,3,0,3,0,暂无数据
土儿胡同 3室2厅 121.64平米,2019.08.03,土儿胡同,3室2厅1厨2卫,顶层(共6层),121.64㎡,板楼,南 北,2002,101103240971,2018-08-24,满五年,1378,2,1400,345,1,15,66,6928
土儿胡同 2室1厅 69.06平米,2019.08.25,土儿胡同,2室1厅1厨1卫,中楼层(共6层),69.06㎡,板楼,南 北,2003,101104822786,2019-05-29,满五年,848,1,870,89,0,31,27,1547
土儿胡同 2室1厅 70平米,2016.10,土儿胡同,2室1厅1厨1卫,中楼层(共6层),70㎡,板楼,南 北,2003,101100660784,2016-10-01,暂无数据,775-856,1,815,1,0,0,8,7
土儿胡同 2室1厅 67.31平米,2016.10.23,土儿胡同,2室1厅1厨1卫,中楼层(共6层),67.31㎡,板楼,南 北,2003,101100664234,2016-10-02,满五年,795,1,810,22,1,30,30,630
土儿胡同 3室1厅 83.4平米,2015.09.13,土儿胡同,3室1厅1厨1卫,中楼层(共6层),83.4㎡,板楼,南 西,2003,BJDC90244244,2015-09-14,满五年,650,1,650,暂无数据,0,0,5,2
土儿胡同 2室1厅 69.06平米,2015.10.01,土儿胡同,2室1厅1厨1卫,高楼层(共6层),69.06㎡,板楼,南 北,2003,BJDC90036906,2015-10-01,满五年,540,1,545,1,1,0,12,暂无数据
土儿胡同 --室--厅 69.88平米,2015.10,土儿胡同,- -室- -厅,中楼层(共6层),69.88㎡,板楼,暂无数据,2002,BJ0001248389,2015-10-01,暂无数据,500-552,1,暂无数据,1,0,0,0,暂无数据
土儿胡同 --室--厅 67.66平米,2015.10,土儿胡同,- -室- -厅,低楼层(共6层),67.66㎡,板楼,暂无数据,2003,BJ0000985180,2015-10-01,暂无数据,501-530,1,暂无数据,1,0,0,0,暂无数据
土儿胡同 3室2厅 112平米,2015.10,土儿胡同,3室2厅1厨2卫,顶层(共6层),112㎡,板楼,南 北,2003,BJDC90540074,2015-10-01,满五年,684-756,1,720,1,0,0,4,暂无数据
土儿胡同 2室1厅 79.91平米,2015.10,土儿胡同,2室1厅1厨1卫,中楼层(共6层),79.91㎡,板楼,南 北,2002,BJDC89843152,2015-10-01,满五年,576-637,1,620,1,0,0,14,1
土儿胡同 2室1厅 66.93平米,2015.10.11,土儿胡同,2室1厅1厨1卫,高楼层(共6层),66.93㎡,板楼,南 北,2003,BJDC89851380,2015-10-11,满五年,525,1,530,1,0,0,14,4
土儿胡同 2室2厅 121.07平米,2015.11,土儿胡同,2室2厅1厨2卫,顶层(共6层),121.07㎡,板楼,南 北,2003,BJDC90337580,2015-11-01,满五年,713-788,1,760,1,1,0,7,1
