title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
安定路 2室1厅 59.44平米,2019.12,安定路,2室1厅1厨1卫,高楼层(共18层),59.44㎡,塔楼,南,1996,101105857518,2019-09-27,暂无数据,599-612,2,630,66,1,21,30,606
安定路 3室2厅 94平米,2019.09,安定路,3室2厅1厨1卫,低楼层(共18层),94㎡,塔楼,南 西,1996,101084743650,2012-07-25,满两年,852-869,2,400,2594,0,0,0,暂无数据
安定路 3室1厅 88.09平米,2019.09.11,安定路,3室1厅1厨1卫,低楼层(共20层),88.09㎡,塔楼,南 北,1995,101105495470,2019-08-17,满两年,696,1,720,26,0,17,35,484
安定路 2室1厅 73.09平米,2019.09.16,安定路,2室1厅1厨1卫,高楼层(共18层),73.09㎡,塔楼,南 西,1996,101105738279,2019-09-14,满五年,700,1,720,3,0,1,0,暂无数据
安定路 2室1厅 50.07平米,2019.11.13,安定路,2室1厅1厨1卫,高楼层(共20层),50.07㎡,塔楼,东,1993,101106194331,2019-11-05,满五年,486,1,520,9,0,7,9,暂无数据
安定路 3室1厅 80.54平米,2019.04.27,安定路,3室1厅1厨1卫,高楼层(共20层),80.54㎡,塔楼,东 西北,1993,101103095796,2018-07-16,满五年,726,1,750,285,0,38,70,7213
安定路 2室1厅 59.34平米,2019.05.01,安定路,2室1厅1厨1卫,低楼层(共18层),59.34㎡,塔楼,东南 北,1996,101104609911,2019-04-29,暂无数据,556,1,566,2,0,6,0,9
安定路 3室1厅 88.09平米,2019.05.29,安定路,3室1厅1厨1卫,中楼层(共20层),88.09㎡,塔楼,南 西 北,1995,101102568150,2018-02-24,暂无数据,780,1,845,459,1,51,161,12201
安定路 4室1厅 85.66平米,2019.06,安定路,4室1厅1厨1卫,顶层(共20层),85.66㎡,塔楼,东 南 北,1995,BJ0029665187,2019-07-04,暂无数据,723-738,1,暂无数据,暂无数据,0,0,0,暂无数据
安定路 2室1厅 52.2平米,2019.06.21,安定路,2室1厅1厨1卫,中楼层(共20层),52.2㎡,塔楼,南,1993,101104889337,2019-06-06,满五年,513,1,540,16,0,17,15,366
安定路 2室1厅 73.09平米,2019.06.26,安定路,2室1厅1厨1卫,低楼层(共18层),73.09㎡,塔楼,东 南 西,1996,101104833940,2019-05-30,满五年,710,1,730,28,0,18,16,520
安定路 3室1厅 80.25平米,2018.10.14,安定路,3室1厅1厨1卫,高楼层(共20层),80.25㎡,塔楼,东 西 西北,1995,101102903468,2018-05-24,满两年,725,1,730,144,1,14,51,3660
安定路 1室1厅 43.39平米,2018.11,安定路,1室1厅1厨1卫,低楼层(共20层),43.39㎡,塔楼,东,1995,BJ0009022969,2018-12-12,暂无数据,423-468,1,暂无数据,暂无数据,0,0,0,暂无数据
安定路 1室1厅 40.75平米,2018.11.17,安定路,1室1厅1厨1卫,中楼层(共18层),40.75㎡,塔楼,东南,1996,101103708507,2018-11-14,暂无数据,435,1,445,3,0,0,0,暂无数据
安定路 3室1厅 88.09平米,2018.12.05,安定路,3室1厅1厨1卫,高楼层(共20层),88.09㎡,塔楼,南 西 北,1995,101103204802,2018-08-15,满五年,755,1,800,112,1,42,64,5049
安定路 2室1厅 59.79平米,2018.12.21,安定路,2室1厅1厨1卫,高楼层(共18层),59.79㎡,塔楼,东南,1996,101103831230,2018-12-09,满五年,584,1,609,12,1,3,0,暂无数据
安定路 3室1厅 85.66平米,2018.01.28,安定路,3室1厅1厨1卫,低楼层(共20层),85.66㎡,塔楼,南 北,1995,101102351216,2017-11-29,满五年,735,1,755,60,1,46,80,4699
安定路 3室1厅 80.25平米,2018.04.07,安定路,3室1厅1厨1卫,高楼层(共20层),80.25㎡,塔楼,东 西 北,1995,101102043955,2017-09-06,满五年,718,1,738,214,1,78,110,10808
安定路 2室2厅 78.74平米,2018.04.18,安定路,2室2厅1厨1卫,中楼层(共18层),78.74㎡,塔楼,东南 西 北,1996,101102026602,2017-09-02,满五年,757,2,787.4,229,1,25,45,3060
安定路 2室1厅 47.82平米,2018.05.13,安定路,2室1厅1厨1卫,中楼层(共20层),47.82㎡,塔楼,东 南 西,1993,101101743084,2017-06-26,满五年,465,1,470,321,1,25,194,8379
安定路 3室1厅 80.54平米,2018.06,安定路,3室1厅1厨1卫,低楼层(共20层),80.54㎡,塔楼,东 西 北,1993,101102832098,2018-05-03,暂无数据,680-751,1,730,29,1,14,11,1317
安定路 2室1厅 49.95平米,2018.06.20,安定路,2室1厅1厨1卫,高楼层(共20层),49.95㎡,塔楼,东,1995,101102980657,2018-06-15,满五年,483,1,500,6,0,11,15,247
安定路 2室1厅 61.72平米,2018.06.21,安定路,2室1厅1厨1卫,底层(共20层),61.72㎡,塔楼,南 北,1993,101102900149,2018-05-23,满五年,482,1,530,30,1,12,23,1117
安定路 1室1厅 40.75平米,2018.07.12,安定路,1室1厅1厨1卫,低楼层(共18层),40.75㎡,塔楼,东南,1996,101103067639,2018-07-08,满五年,440,1,445,4,0,7,10,105
安定路 2室1厅 59.44平米,2018.08,安定路,2室1厅1厨1卫,高楼层(共18层),59.44㎡,塔楼,东南,1996,101103181460,2018-08-09,满五年,580-641,2,630,暂无数据,0,6,0,暂无数据
安定路 3室1厅 90.69平米,2018.09,安定路,3室1厅1厨1卫,高楼层(共20层),90.69㎡,塔楼,东 南 西,1993,101088076153,2014-08-13,满两年,798-882,2,388,1481,0,0,0,暂无数据
安定路 3室1厅 81.77平米,2018.09,安定路,3室1厅1厨1卫,底层(共18层),81.77㎡,塔楼,南,1996,101103084076,2018-07-13,暂无数据,692-765,1,738,50,1,24,57,2049
安定路 1室1厅 40.2平米,2018.09.19,安定路,1室1厅1厨1卫,低楼层(共18层),40.2㎡,塔楼,东南,1996,101103017658,2018-06-25,暂无数据,432,2,450,86,0,14,33,2159
