title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
安贞苑50号院 2室1厅 65.43平米,2019.08.27,安贞苑50号院,2室1厅1厨1卫,底层(共6层),65.43㎡,板楼,南 北,1996,101105467598,2019-08-14,满五年,610,1,646,13,0,12,16,353
安贞苑50号院 2室1厅 65.82平米,2017.07.20,安贞苑50号院,2室1厅1厨1卫,中楼层(共6层),65.82㎡,板楼,南 北,1996,101101822752,2017-07-16,满五年,626,1,668,5,0,6,3,148
安贞苑50号院 2室1厅 88.95平米,2017.08,安贞苑50号院,2室1厅1厨1卫,中楼层(共6层),88.95㎡,板楼,南 北,2000,101101467872,2017-04-13,满五年,822-909,1,880,110,1,38,55,4257
安贞苑50号院 2室1厅 65.65平米,2017.08.09,安贞苑50号院,2室1厅1厨1卫,高楼层(共6层),65.65㎡,板楼,南 北,1996,101101771133,2017-07-03,满五年,595,1,628,38,1,43,102,6436
安贞苑50号院 2室1厅 65.82平米,2017.08.25,安贞苑50号院,2室1厅1厨1卫,中楼层(共6层),65.82㎡,板楼,南 北,1996,101101629034,2017-05-27,满五年,620,1,645,90,1,132,117,9879
安贞苑50号院 3室1厅 128.36平米,2017.09.04,安贞苑50号院,3室1厅1厨1卫,中楼层(共6层),128.36㎡,板楼,南 北,2000,101101991976,2017-08-25,满五年,1210,1,1250,11,1,5,21,418
安贞苑50号院 2室1厅 65.65平米,2017.10.31,安贞苑50号院,2室1厅1厨1卫,低楼层(共6层),65.65㎡,板楼,南 北,1996,101102253433,2017-10-31,满五年,625,1,650,1,0,0,12,95
安贞苑50号院 2室1厅 65.82平米,2017.11,安贞苑50号院,2室1厅1厨1卫,顶层(共6层),65.82㎡,板楼,南 北,1996,101102285900,2017-11-09,满五年,518-573,1,565,暂无数据,1,4,41,1053
安贞苑50号院 3室1厅 128.36平米,2017.11,安贞苑50号院,3室1厅1厨1卫,低楼层(共6层),128.36㎡,板楼,南 北,2000,101102076756,2017-09-14,满五年,1143-1264,1,1280,49,0,12,69,3545
安贞苑50号院 2室1厅 65.82平米,2017.11,安贞苑50号院,2室1厅1厨1卫,高楼层(共6层),65.82㎡,板楼,南 北,1996,101101506740,2017-04-23,满五年,576-637,1,625,192,1,52,42,3990
安贞苑50号院 2室1厅 88.95平米,2018.01,安贞苑50号院,2室1厅1厨1卫,中楼层(共6层),88.95㎡,板楼,南,2000,101102504078,2018-01-20,满五年,775-856,1,860,暂无数据,0,13,0,暂无数据
安贞苑50号院 1室1厅 49.29平米,2018.08.22,安贞苑50号院,1室1厅1厨1卫,中楼层(共6层),49.29㎡,板楼,南,1996,101103141958,2018-07-29,暂无数据,480,1,490,24,0,7,0,暂无数据
安贞苑50号院 2室1厅 65.82平米,2019.02.20,安贞苑50号院,2室1厅1厨1卫,顶层(共6层),65.82㎡,板楼,南 北,1996,101102426713,2017-12-23,满五年,558,1,580,425,1,74,85,8613
