title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
慧忠里 1室1厅 45.36平米,2019.08.19,慧忠里,1室1厅1厨1卫,中楼层(共6层),45.36㎡,板楼,西南,1991,101105487757,2019-08-16,暂无数据,365,2,385,3,0,0,0,暂无数据
慧忠里 2室1厅 46.42平米,2019.06,慧忠里,2室1厅1厨1卫,顶层(共6层),46.42㎡,板楼,南 北,1991,101104427973,2019-04-04,暂无数据,385-426,1,460,58,0,12,0,3
慧忠里 3室1厅 83.91平米,2019.04,慧忠里,3室1厅1厨1卫,中楼层(共6层),83.91㎡,板楼,南 北,1993,101103884394,2018-12-22,满五年,627-693,1,690,101,0,41,143,3709
慧忠里 2室1厅 58.45平米,2019.02.19,慧忠里,2室1厅1厨1卫,高楼层(共6层),58.45㎡,板楼,南 北,1990,101103543175,2018-10-17,满两年,507,1,514,126,1,32,27,2402
慧忠里 1室1厅 45.5平米,2018.10.26,慧忠里,1室1厅1厨1卫,中楼层(共6层),45.5㎡,板楼,东南,1993,101103411793,2018-09-24,满五年,380,1,395,33,1,5,19,894
慧忠里 2室1厅 64.71平米,2018.07.01,慧忠里,2室1厅1厨1卫,低楼层(共6层),64.71㎡,板楼,南 北,1990,101103028082,2018-06-28,满两年,575,1,578,4,0,4,5,78
慧忠里 1室1厅 48.31平米,2018.05.04,慧忠里,1室1厅1厨1卫,顶层(共6层),48.31㎡,板楼,东 西,1990,101101792712,2017-07-08,满两年,364,1,375,300,1,60,100,8860
慧忠里 1室1厅 44.47平米,2018.01.14,慧忠里,1室1厅1厨1卫,底层(共6层),44.47㎡,板楼,东南,1993,101101840053,2017-07-20,暂无数据,303,3,320,178,1,76,123,9200
慧忠里 2室1厅 57.27平米,2017.09,慧忠里,2室1厅1厨1卫,中楼层(共6层),57.27㎡,板楼,南 北,1993,101101724487,2017-06-21,满五年,454-502,1,515,72,1,36,65,2075
慧忠里 2室1厅 57.51平米,2017.03.15,慧忠里,2室1厅1厨1卫,中楼层(共6层),57.51㎡,板楼,南 北,1993,101101305039,2017-03-09,暂无数据,598,1,609,6,0,7,0,46
