title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
教场口6号院 1室1厅 50.92平米,2019.11.05,教场口6号院,1室1厅1厨1卫,中楼层(共6层),50.92㎡,板楼,南 北,2003,101105630684,2019-09-01,满五年,722,1,730,66,1,23,21,909
教场口6号院 1室1厅 54.66平米,2019.07,教场口6号院,1室1厅1厨1卫,底层(共6层),54.66㎡,板楼,南,2003,101104796571,2019-05-25,满五年,718-733,1,750,37,1,58,25,1332
教场口6号院 1室1厅 51.37平米,2019.07.09,教场口6号院,1室1厅1厨1卫,低楼层(共6层),51.37㎡,板楼,南 北,2003,101104489100,2019-04-13,暂无数据,719,1,740,88,1,18,34,1607
教场口6号院 1室1厅 52.2平米,2019.07.15,教场口6号院,1室1厅1厨1卫,中楼层(共6层),52.2㎡,板楼,南 北,2003,101105068398,2019-06-29,满五年,708,1,729,17,1,33,22,1110
教场口6号院 1室1厅 51.77平米,2019.08.01,教场口6号院,1室1厅1厨1卫,中楼层(共6层),51.77㎡,板楼,南 北,2003,101105183409,2019-07-10,满五年,708,1,720,22,1,37,27,692
教场口6号院 1室1厅 52.33平米,2019.08.12,教场口6号院,1室1厅1厨1卫,低楼层(共6层),52.33㎡,板楼,南 北,2003,101104391609,2019-03-30,满五年,720,1,738,135,1,16,26,1638
教场口6号院 1室1厅 54.42平米,2019.08.26,教场口6号院,1室1厅1厨1卫,高楼层(共6层),54.42㎡,板楼,南,2003,101105310239,2019-07-26,满五年,720,1,729,31,1,8,13,929
教场口6号院 1室1厅 51.01平米,2019.09.03,教场口6号院,1室1厅1厨1卫,高楼层(共6层),51.01㎡,板楼,南 北,2003,101105270398,2019-07-21,满五年,687,1,715,44,0,79,21,1374
教场口6号院 1室1厅 51.96平米,2019.09.15,教场口6号院,1室1厅1厨1卫,底层(共6层),51.96㎡,板楼,南 北,2003,101104510073,2019-04-16,满五年,680,1,690,152,0,173,88,11643
教场口6号院 1室1厅 51.01平米,2019.11,教场口6号院,1室1厅1厨1卫,顶层(共6层),51.01㎡,板楼,南 北,2003,101106022126,2019-10-17,满五年,723-738,2,740,16,0,1,8,117
教场口6号院 1室1厅 60.15平米,2019.11,教场口6号院,1室1厅1厨1卫,中楼层(共6层),60.15㎡,板楼,南 北,2003,101105232094,2019-07-16,满五年,807-824,1,840,108,1,13,19,1312
教场口6号院 1室1厅 56.96平米,2019.05.20,教场口6号院,1室1厅1厨1卫,顶层(共6层),56.96㎡,板楼,东 西,2003,101104319597,2019-03-21,满五年,689,1,695,61,1,53,12,1176
教场口6号院 1室1厅 54.2平米,2019.05.23,教场口6号院,1室1厅1厨1卫,高楼层(共6层),54.2㎡,板楼,东 南 西,2003,101104545350,2019-04-20,满五年,670,1,699,33,1,14,22,745
教场口6号院 1室1厅 52.51平米,2019.06,教场口6号院,1室1厅1厨1卫,高楼层(共6层),52.51㎡,板楼,南 北,2003,101103040595,2018-07-01,满五年,639-652,1,690,335,1,3,96,6264
教场口6号院 1室1厅 56.37平米,2019.06,教场口6号院,1室1厅1厨1卫,高楼层(共6层),56.37㎡,板楼,东 西,2003,101103524804,2018-10-14,满五年,703-718,1,732,230,1,9,36,5862
教场口6号院 1室1厅 52.33平米,2019.06.02,教场口6号院,1室1厅1厨1卫,中楼层(共6层),52.33㎡,板楼,南 北,2003,101104037533,2019-02-10,暂无数据,675,2,695,113,1,45,38,1136
教场口6号院 1室1厅 54.95平米,2018.12.09,教场口6号院,1室1厅1厨1卫,高楼层(共6层),54.95㎡,板楼,东,2003,101103621385,2018-10-30,暂无数据,672,1,715,41,1,5,9,1164
教场口6号院 1室1厅 40.87平米,2019.01,教场口6号院,1室1厅1厨1卫,低楼层(共6层),40.87㎡,板楼,东,2003,101103794079,2018-12-01,暂无数据,561-620,1,610,31,0,7,0,6
教场口6号院 1室1厅 51.25平米,2019.01.10,教场口6号院,1室1厅1厨1卫,高楼层(共6层),51.25㎡,板楼,南 北,2003,101103885323,2018-12-22,满五年,680,1,718,20,0,3,0,暂无数据
教场口6号院 1室1厅 51.78平米,2019.02.18,教场口6号院,1室1厅1厨1卫,中楼层(共6层),51.78㎡,板楼,南 北,2003,101104066446,2019-02-15,暂无数据,695,1,720,4,1,14,0,19
教场口6号院 1室1厅 56.16平米,2019.02.27,教场口6号院,1室1厅1厨1卫,中楼层(共6层),56.16㎡,板楼,东南,2003,101104127475,2019-02-23,满五年,789,1,820,4,0,10,7,84
教场口6号院 1室1厅 51.87平米,2019.03,教场口6号院,1室1厅1厨1卫,中楼层(共6层),51.87㎡,板楼,南 北,2003,101104001366,2019-01-19,满五年,662-731,1,710,41,1,7,0,2
教场口6号院 1室1厅 52.21平米,2019.03.03,教场口6号院,1室1厅1厨1卫,低楼层(共6层),52.21㎡,板楼,南 北,2003,101104107177,2019-02-21,满五年,702,1,710,10,1,20,13,245
教场口6号院 1室1厅 55.17平米,2019.03.21,教场口6号院,1室1厅1厨1卫,中楼层(共6层),55.17㎡,板楼,南,2003,101104225925,2019-03-08,满五年,705,1,740,13,1,27,11,313
教场口6号院 2室1厅 54.95平米,2019.03.22,教场口6号院,2室1厅1厨1卫,中楼层(共6层),54.95㎡,板楼,东,2003,101104260988,2019-03-13,满五年,730,1,760,10,0,10,11,221
教场口6号院 1室1厅 51.77平米,2019.04,教场口6号院,1室1厅1厨1卫,中楼层(共6层),51.77㎡,板楼,南 北,2003,101104296239,2019-03-17,满五年,692-705,1,795,15,1,0,0,暂无数据
教场口6号院 2室1厅 63.47平米,2019.04.07,教场口6号院,2室1厅1厨1卫,中楼层(共6层),63.47㎡,板楼,南 西,2003,101101697922,2017-06-14,满五年,708,1,761,663,1,30,40,11876
