title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
民旺园 2室1厅 60.44平米,2019.09.25,民旺园,2室1厅1厨1卫,低楼层(共6层),60.44㎡,板楼,南 北,1982,101105546259,2019-08-23,暂无数据,611,1,650,34,0,23,0,暂无数据
民旺园 2室1厅 47.75平米,2019.05.19,民旺园,2室1厅1厨1卫,底层(共4层),47.75㎡,板楼,南,1992,101104235350,2019-03-10,满两年,528,2,545,71,1,46,52,856
民旺园 1室1厅 47.1平米,2019.06.26,民旺园,1室1厅1厨1卫,低楼层(共6层),47.1㎡,板楼,南,1996,101104887915,2019-06-06,满两年,525,1,548,21,1,8,15,399
民旺园 2室1厅 47.24平米,2019.07,民旺园,2室1厅1厨1卫,底层(共5层),47.24㎡,板楼,南,1982,101104983504,2019-06-18,暂无数据,484-493,1,510,13,1,62,25,1141
民旺园 2室1厅 53.05平米,2019.07.04,民旺园,2室1厅1厨1卫,中楼层(共5层),53.05㎡,板楼,南 北,1980,101104724231,2019-05-15,暂无数据,559,1,585,51,1,78,38,1221
民旺园 2室1厅 56.66平米,2019.08.06,民旺园,2室1厅1厨1卫,中楼层(共5层),56.66㎡,板楼,南 北,1980,101102854375,2018-05-09,满五年,600,1,630,455,1,54,46,2207
民旺园 2室1厅 59.39平米,2019.08.20,民旺园,2室1厅1厨1卫,中楼层(共16层),59.39㎡,塔楼,南 北,1993,101105280067,2019-07-22,暂无数据,617,1,636,29,0,17,16,436
民旺园 2室1厅 56.2平米,2019.08.30,民旺园,2室1厅1厨1卫,中楼层(共6层),56.2㎡,板楼,南,1986,101105455542,2019-08-13,满五年,579,1,598,18,0,22,12,325
民旺园 2室1厅 57.74平米,2019.09.15,民旺园,2室1厅1厨1卫,顶层(共5层),57.74㎡,板楼,南 北,1985,101104924253,2019-06-11,满五年,583,1,600,97,1,10,14,954
民旺园 3室1厅 62.24平米,2019.02.21,民旺园,3室1厅1厨1卫,底层(共5层),62.24㎡,板楼,南 北,1985,101102781373,2018-04-17,满五年,619,1,620,310,1,173,108,12788
民旺园 2室1厅 63.67平米,2019.02.24,民旺园,2室1厅1厨1卫,中楼层(共16层),63.67㎡,塔楼,南,1993,101103824110,2018-12-08,满五年,610,1,625,79,0,17,16,1069
民旺园 2室1厅 54.17平米,2019.03.07,民旺园,2室1厅1厨1卫,高楼层(共6层),54.17㎡,板楼,南,1990,101104086102,2019-02-17,满五年,562,1,600,18,0,2,0,3
