title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
畅柳园 1室1厅 55.7平米,2019.11.30,畅柳园,1室1厅1厨1卫,高楼层(共14层),55.7㎡,板塔结合,西,2004,101106384464,2019-11-28,满五年,596,1,598,2,0,4,0,暂无数据
畅柳园 1室1厅 52.3平米,2019.07.14,畅柳园,1室1厅1厨1卫,高楼层(共16层),52.3㎡,板塔结合,南,2003,101104850984,2019-06-01,满五年,605,1,630,44,0,4,17,612
畅柳园 2室1厅 66.05平米,2019.07.27,畅柳园,2室1厅1厨1卫,中楼层(共14层),66.05㎡,板塔结合,南,2004,101105124945,2019-07-04,满五年,730,1,750,24,1,43,30,609
畅柳园 1室1厅 49.99平米,2019.08,畅柳园,1室1厅1厨1卫,中楼层(共14层),49.99㎡,板塔结合,北,2004,101104669015,2019-05-08,暂无数据,510-563,1,560,86,0,0,0,1
畅柳园 2室1厅 83.32平米,2019.08,畅柳园,2室1厅1厨1卫,中楼层(共16层),83.32㎡,板塔结合,东 南 西,2003,101102405201,2017-12-16,暂无数据,842-859,1,880,593,1,3,0,暂无数据
畅柳园 2室1厅 65.4平米,2019.08.05,畅柳园,2室1厅1厨1卫,中楼层(共14层),65.4㎡,板塔结合,南 北,2004,101105114670,2019-07-03,满五年,655,1,669,34,1,115,94,1599
畅柳园 1室1厅 57.32平米,2019.09,畅柳园,1室1厅1厨1卫,中楼层(共14层),57.32㎡,板塔结合,南,2004,101105524634,2019-08-20,暂无数据,560-581,1,620,12,0,3,0,1
畅柳园 2室1厅 64.91平米,2019.09,畅柳园,2室1厅1厨1卫,中楼层(共16层),64.91㎡,塔楼,东北,2003,101105700278,2019-09-09,满五年,640-651,1,660,暂无数据,0,2,7,25
畅柳园 2室1厅 64.97平米,2019.09,畅柳园,2室1厅1厨1卫,低楼层(共16层),64.97㎡,板塔结合,西 北,2003,BJ0031433596,2019-10-11,暂无数据,601-664,1,暂无数据,暂无数据,0,0,0,暂无数据
畅柳园 2室1厅 61.12平米,2019.09.16,畅柳园,2室1厅1厨1卫,顶层(共9层),61.12㎡,板楼,南 西 北,2004,101105396873,2019-08-06,满五年,682,1,708,42,0,28,36,1016
畅柳园 2室1厅 75.39平米,2019.09.25,畅柳园,2室1厅1厨1卫,中楼层(共16层),75.39㎡,塔楼,东南,2002,101105741211,2019-09-14,满五年,835,1,850,12,0,7,21,373
畅柳园 2室1厅 64.91平米,2019.09.26,畅柳园,2室1厅1厨1卫,中楼层(共16层),64.91㎡,塔楼,西北,2003,101105837282,2019-09-25,暂无数据,625,1,625,2,0,2,0,暂无数据
畅柳园 2室1厅 72.46平米,2019.09.29,畅柳园,2室1厅1厨1卫,中楼层(共14层),72.46㎡,板塔结合,西,2003,101104539900,2019-04-19,满两年,685,1,699,163,1,136,66,2854
畅柳园 2室1厅 65.69平米,2019.10,畅柳园,2室1厅1厨1卫,中楼层(共14层),65.69㎡,板塔结合,南 北,2004,101104733042,2019-05-16,暂无数据,594-606,1,640,138,1,139,64,1405
畅柳园 2室1厅 67.09平米,2019.10.13,畅柳园,2室1厅1厨1卫,中楼层(共16层),67.09㎡,板塔结合,西 北,2003,101105240002,2019-07-17,满五年,669,1,680,89,1,26,13,1587
畅柳园 1室1厅 55.34平米,2019.10.25,畅柳园,1室1厅1厨1卫,高楼层(共14层),55.34㎡,板塔结合,东,2004,101106073192,2019-10-21,满五年,588,1,590,4,0,6,11,72
畅柳园 3室1厅 90.1平米,2019.06.11,畅柳园,3室1厅1厨1卫,中楼层(共14层),90.1㎡,板塔结合,东南,2004,101104132124,2019-02-24,满五年,930,1,980,107,1,32,26,2418
畅柳园 2室1厅 69.6平米,2019.06.20,畅柳园,2室1厅1厨1卫,中楼层(共16层),69.6㎡,板塔结合,南 北,2003,101103136003,2018-07-28,满两年,712,2,726.6,327,1,57,158,4749
畅柳园 1室1厅 55.83平米,2019.07,畅柳园,1室1厅1厨1卫,中楼层(共12层),55.83㎡,板塔结合,西,2004,101103187857,2018-08-11,满两年,575-586,2,585,325,1,101,164,9482
畅柳园 2室1厅 66.21平米,2019.07.02,畅柳园,2室1厅1厨1卫,低楼层(共10层),66.21㎡,板塔结合,南 北,2004,101102688699,2018-03-23,满五年,674,1,698,466,1,99,38,1389
畅柳园 1室1厅 58.85平米,2019.07.03,畅柳园,1室1厅1厨1卫,中楼层(共14层),58.85㎡,板塔结合,北,2004,101104997251,2019-06-20,满五年,599,2,610,13,0,17,30,357
畅柳园 2室1厅 64.97平米,2019.07.05,畅柳园,2室1厅1厨1卫,低楼层(共16层),64.97㎡,板塔结合,东北,2003,101104491307,2019-04-13,满五年,615,1,638,83,1,62,57,1786
畅柳园 2室1厅 66.65平米,2019.11.06,畅柳园,2室1厅1厨1卫,中楼层(共10层),66.65㎡,板塔结合,南 北,2004,101105917206,2019-10-05,暂无数据,680,1,700,32,0,25,54,822
畅柳园 1室1厅 55.34平米,2019.11.19,畅柳园,1室1厅1厨1卫,中楼层(共14层),55.34㎡,板塔结合,北,2004,101106122958,2019-10-27,满五年,588,1,610,24,0,15,18,511
畅柳园 1室1厅 55.34平米,2019.11.20,畅柳园,1室1厅1厨1卫,中楼层(共14层),55.34㎡,板塔结合,西,2004,101106286856,2019-11-16,暂无数据,580,1,590,4,0,3,0,暂无数据
畅柳园 1室1厅 54.41平米,2019.11.24,畅柳园,1室1厅1厨1卫,顶层(共10层),54.41㎡,板塔结合,南 北,2004,101105051448,2019-06-27,满五年,607,2,618,151,1,3,63,2336
畅柳园 2室1厅 67.03平米,2019.11.25,畅柳园,2室1厅1厨1卫,低楼层(共16层),67.03㎡,塔楼,西北,2002,101106101341,2019-10-25,满五年,630,1,649,32,1,35,26,1085
畅柳园 1室1厅 55.65平米,2019.11.27,畅柳园,1室1厅1厨1卫,中楼层(共14层),55.65㎡,板塔结合,西,2004,101106269490,2019-11-14,满五年,596,1,620,13,0,17,16,384
