title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
胜古中路1号院 3室2厅 176.44平米,2016.08.01,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),176.44㎡,板楼,东 西 北,1996,101100367417,2016-07-29,暂无数据,600,1,620,3,0,1,0,暂无数据
胜古中路1号院 3室2厅 148.97平米,2016.08.01,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.97㎡,板楼,东 西,1996,101100367435,2016-07-29,暂无数据,500,1,500,3,0,1,0,暂无数据
胜古中路1号院 --室--厅 95.94平米,2016.09,胜古中路1号院,- -室- -厅,顶层(共2层),95.94㎡,暂无数据,暂无数据,未知,BJ0002222525,暂无数据,暂无数据,980-985,1,暂无数据,暂无数据,0,0,0,暂无数据
胜古中路1号院 3室2厅 148.97平米,2016.09.06,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.97㎡,板楼,东 西,1996,101100542616,2016-09-06,暂无数据,500,1,500,1,0,1,1,暂无数据
胜古中路1号院 3室2厅 148.97平米,2016.09.13,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.97㎡,板楼,东 西,1996,101100553224,2016-09-08,暂无数据,500,1,500,5,0,1,0,暂无数据
胜古中路1号院 3室1厅 148.9平米,2016.09.13,胜古中路1号院,3室1厅1厨2卫,中楼层(共14层),148.9㎡,板楼,西南,1996,101100565930,2016-09-11,暂无数据,500,1,500,3,0,0,0,暂无数据
胜古中路1号院 3室2厅 148.97平米,2016.09.13,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.97㎡,板楼,东 西,1996,101100553244,2016-09-08,暂无数据,500,1,500,5,0,1,0,暂无数据
胜古中路1号院 3室2厅 148.97平米,2016.09.30,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.97㎡,板楼,西,1996,101100645764,2016-09-28,暂无数据,500,1,600,2,0,1,2,1
胜古中路1号院 --室--厅 149.05平米,2016.11,胜古中路1号院,- -室- -厅,顶层(共14层),149.05㎡,板楼,暂无数据,1996,BJ0002357218,暂无数据,暂无数据,700-773,2,暂无数据,暂无数据,0,0,0,暂无数据
胜古中路1号院 3室1厅 148.9平米,2016.11.04,胜古中路1号院,3室1厅1厨2卫,中楼层(共14层),148.9㎡,板楼,南,1996,101100792304,2016-11-02,暂无数据,500,1,500,3,0,1,0,3
胜古中路1号院 3室2厅 148.97平米,2016.03.21,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.97㎡,板楼,东 西,1996,BJDC91812372,2016-03-21,暂无数据,485,1,485,1,0,0,1,1
胜古中路1号院 3室1厅 148.97平米,2016.03.21,胜古中路1号院,3室1厅1厨1卫,低楼层(共14层),148.97㎡,板楼,南 北,1996,BJDC91812350,2016-03-21,暂无数据,485,1,485,1,0,0,0,暂无数据
胜古中路1号院 3室2厅 148.9平米,2016.03.21,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.9㎡,板楼,东 西,1996,BJDC91812262,2016-03-21,暂无数据,485,1,485,1,0,0,0,暂无数据
胜古中路1号院 2室1厅 59.41平米,2016.03.21,胜古中路1号院,2室1厅1厨1卫,底层(共14层),59.41㎡,板楼,东 西,1996,BJCY91812295,2016-03-21,暂无数据,186,1,186,1,0,0,0,暂无数据
胜古中路1号院 3室2厅 148.9平米,2016.03.21,胜古中路1号院,3室2厅1厨1卫,低楼层(共14层),148.9㎡,板楼,东 西,1996,BJDC91812322,2016-03-21,暂无数据,485,1,485,1,0,0,0,暂无数据
胜古中路1号院 3室2厅 149.05平米,2015.07,胜古中路1号院,3室2厅1厨2卫,顶层(共14层),149.05㎡,板楼,南 北,1996,BJDC89863521,2015-07-01,满两年,513-567,2,558,1,1,0,52,暂无数据
胜古中路1号院 3室2厅 148.97平米,2015.07.28,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.97㎡,板楼,东 西,1996,BJDC89708263,2015-07-28,满五年,460,1,500,1,0,0,2,暂无数据
胜古中路1号院 3室2厅 148.9平米,2015.08.14,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.9㎡,板楼,东 西,1996,BJDC89574976,2015-08-14,暂无数据,441,1,458,1,1,0,7,2
胜古中路1号院 3室2厅 149.05平米,2015.08.25,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),149.05㎡,板楼,南 北,1996,BJDC89067153,2015-08-25,满五年,530,1,540,1,0,0,70,1
胜古中路1号院 5室2厅 226.39平米,2015.09.05,胜古中路1号院,5室2厅1厨2卫,高楼层(共14层),226.39㎡,板楼,东 西,1996,BJDC86660420,2015-09-06,暂无数据,536,1,580,暂无数据,1,0,40,2
胜古中路1号院 4室2厅 226.39平米,2015.09.13,胜古中路1号院,4室2厅1厨2卫,中楼层(共14层),226.39㎡,板楼,东 西,1996,BJDC89067178,2015-09-14,满五年,713,1,720,暂无数据,1,0,10,暂无数据
胜古中路1号院 3室1厅 148.9平米,2015.09.16,胜古中路1号院,3室1厅1厨2卫,顶层(共14层),148.9㎡,板楼,东 西,1996,BJDC88558859,2015-09-17,满五年,478,1,490,暂无数据,1,0,12,暂无数据
胜古中路1号院 --室--厅 148.97平米,2015.10,胜古中路1号院,- -室- -厅,中楼层(共14层),148.97㎡,板楼,暂无数据,1996,BJ0001426718,2015-10-01,暂无数据,420-431,1,暂无数据,1,0,0,0,暂无数据
胜古中路1号院 3室2厅 148.97平米,2015.12.04,胜古中路1号院,3室2厅1厨2卫,中楼层(共14层),148.97㎡,板楼,东 西,1996,BJDC89708315,2015-12-05,满五年,484,1,500,暂无数据,0,0,7,2
胜古中路1号院 3室2厅 148.97平米,2015.12.07,胜古中路1号院,3室2厅1厨2卫,低楼层(共14层),148.97㎡,板楼,东 西,1996,BJDC89642650,2015-12-08,满五年,485,1,500,暂无数据,0,0,25,暂无数据
胜古中路1号院 --室--厅 148.97平米,2016.01,胜古中路1号院,- -室- -厅,中楼层(共14层),148.97㎡,板楼,暂无数据,1996,BJ0002223003,暂无数据,暂无数据,461-510,1,暂无数据,暂无数据,0,0,0,暂无数据
胜古中路1号院 4室1厅 190.34平米,2016.02.26,胜古中路1号院,4室1厅1厨2卫,高楼层(共14层),190.34㎡,板楼,南 西,1996,BJDC89214143,2016-02-27,满五年,565,1,680,暂无数据,1,0,8,1
胜古中路1号院 3室2厅 149.05平米,2015.05.12,胜古中路1号院,3室2厅1厨2卫,高楼层(共14层),149.05㎡,板楼,南 北,1996,BJDC88596998,2015-05-12,满两年,508,1,520,1,1,0,25,3
胜古中路1号院 3室1厅 148.97平米,2015.05.19,胜古中路1号院,3室1厅1厨2卫,高楼层(共14层),148.97㎡,板楼,东 西,1996,BJDC87804145,2015-05-19,满五年,480,1,490,1,1,0,2,暂无数据
