title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
道家园 2室1厅 62.73平米,2019.07.29,道家园,2室1厅1厨1卫,高楼层(共18层),62.73㎡,塔楼,东南,1993,101104977267,2019-06-18,满五年,450,1,470,42,0,41,49,522
道家园 2室1厅 65.32平米,2019.04.22,道家园,2室1厅1厨1卫,中楼层(共20层),65.32㎡,塔楼,东南,1996,101104484000,2019-04-12,满五年,416,1,418,10,0,14,10,22
道家园 2室1厅 65.32平米,2019.04.24,道家园,2室1厅1厨1卫,高楼层(共20层),65.32㎡,塔楼,西南,1994,101104549881,2019-04-21,满五年,414,1,425,4,0,6,9,76
道家园 2室1厅 61.1平米,2019.05,道家园,2室1厅1厨1卫,中楼层(共20层),61.1㎡,塔楼,南 西,1994,BJ0029173342,2019-06-05,暂无数据,382-389,1,暂无数据,暂无数据,0,0,0,暂无数据
道家园 2室1厅 70.12平米,2019.05,道家园,2室1厅1厨1卫,中楼层(共20层),70.12㎡,塔楼,东 南,1997,BJ0029173329,2019-06-05,暂无数据,422-467,1,暂无数据,暂无数据,0,0,0,暂无数据
道家园 2室1厅 65.32平米,2019.05.05,道家园,2室1厅1厨1卫,顶层(共20层),65.32㎡,塔楼,东南,1994,101104533248,2019-04-18,满五年,402,1,415,17,0,9,17,350
道家园 2室1厅 62.51平米,2019.05.06,道家园,2室1厅1厨1卫,底层(共12层),62.51㎡,板塔结合,南 北,1991,101104562495,2019-04-22,满五年,450,1,465,14,0,8,4,211
道家园 2室1厅 70.12平米,2019.05.08,道家园,2室1厅1厨1卫,高楼层(共20层),70.12㎡,塔楼,东南,1997,101104646055,2019-05-05,暂无数据,428,2,430,4,0,1,0,暂无数据
道家园 2室1厅 68.56平米,2019.05.18,道家园,2室1厅1厨1卫,中楼层(共20层),68.56㎡,塔楼,东南,1996,101104577896,2019-04-25,满五年,395,1,410,24,0,38,16,626
道家园 1室1厅 51.28平米,2019.05.21,道家园,1室1厅1厨1卫,中楼层(共12层),51.28㎡,板塔结合,南,1992,101104411844,2019-04-02,暂无数据,328,2,335,50,1,20,9,453
道家园 1室1厅 44.09平米,2019.06.06,道家园,1室1厅1厨1卫,中楼层(共7层),44.09㎡,板楼,南,1988,101104008899,2019-01-21,满五年,290,2,299,136,1,19,119,1966
道家园 1室1厅 50.24平米,2019.06.25,道家园,1室1厅1厨1卫,低楼层(共12层),50.24㎡,板塔结合,东 西,1992,101104871736,2019-06-04,暂无数据,318,1,320,22,0,16,11,288
道家园 2室1厅 65.32平米,2019.06.26,道家园,2室1厅1厨1卫,高楼层(共20层),65.32㎡,塔楼,西南,1996,101104582732,2019-04-25,满五年,404,1,415,62,1,7,46,656
道家园 2室1厅 63.32平米,2019.07,道家园,2室1厅1厨1卫,中楼层(共18层),63.32㎡,塔楼,南,1996,101104760877,2019-05-20,满五年,419-428,1,450,42,0,26,64,1421
道家园 2室1厅 60.91平米,2019.07,道家园,2室1厅1厨1卫,高楼层(共7层),60.91㎡,板楼,南 北,1988,101104995817,2019-06-20,满五年,303-310,1,325,11,1,42,144,1427
道家园 2室1厅 65.32平米,2019.07,道家园,2室1厅1厨1卫,中楼层(共20层),65.32㎡,塔楼,东南,1994,101104666054,2019-05-07,满五年,406-415,1,415,55,1,14,61,1954
道家园 2室1厅 60.37平米,2019.03.18,道家园,2室1厅1厨1卫,中楼层(共12层),60.37㎡,板塔结合,南 北,1999,101104078182,2019-02-16,满五年,435,2,440,30,1,8,0,4
道家园 1室1厅 49.3平米,2019.03.24,道家园,1室1厅1厨1卫,低楼层(共12层),49.3㎡,板塔结合,南,1991,101104268795,2019-03-14,满五年,347,1,349,11,0,32,16,394
道家园 2室1厅 62.65平米,2019.03.24,道家园,2室1厅1厨1卫,中楼层(共12层),62.65㎡,板塔结合,南 北,1991,101104277773,2019-03-15,满五年,404,1,420,10,0,7,61,307
