title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
青年湖东里 1室1厅 37.64平米,2019.09.30,青年湖东里,1室1厅1厨1卫,中楼层(共5层),37.64㎡,板楼,南,1980,101105235968,2019-07-17,满五年,408,1,428,76,1,67,68,6827
青年湖东里 3室1厅 59.13平米,2018.08.12,青年湖东里,3室1厅1厨1卫,底层(共5层),59.13㎡,板楼,南 北,1980,101102623017,2018-03-07,满两年,638,2,680,158,0,49,76,2453
青年湖东里 2室1厅 52.01平米,2018.08.26,青年湖东里,2室1厅1厨1卫,中楼层(共5层),52.01㎡,板楼,南 北,1980,101103169612,2018-08-06,暂无数据,515,1,530,21,0,17,18,487
青年湖东里 2室1厅 61.2平米,2018.09.25,青年湖东里,2室1厅1厨1卫,高楼层(共6层),61.2㎡,板楼,南 北,1994,101102790840,2018-04-20,满五年,552,1,570,158,1,67,289,6495
青年湖东里 1室1厅 40.17平米,2018.09.29,青年湖东里,1室1厅1厨1卫,低楼层(共6层),40.17㎡,板楼,南,1986,101103434443,2018-09-28,满五年,412,1,420,2,0,3,9,65
青年湖东里 2室1厅 50.65平米,2018.10,青年湖东里,2室1厅1厨1卫,顶层(共6层),50.65㎡,板楼,南,1990,101103205697,2018-08-15,暂无数据,452-499,1,490,47,1,18,84,2262
青年湖东里 1室1厅 45.51平米,2018.11.28,青年湖东里,1室1厅1厨1卫,底层(共6层),45.51㎡,板楼,南,1994,101103639750,2018-11-02,满五年,435,1,450,26,1,4,25,576
青年湖东里 2室1厅 61.17平米,2018.12.26,青年湖东里,2室1厅1厨1卫,底层(共6层),61.17㎡,板楼,南 北,1994,101102414789,2017-12-19,满五年,539,1,552,372,1,148,227,8069
青年湖东里 1室1厅 42.57平米,2019.01.10,青年湖东里,1室1厅1厨1卫,高楼层(共6层),42.57㎡,板楼,南 北,1988,101103646222,2018-11-03,满五年,368,1,380,68,1,48,171,4058
青年湖东里 2室1厅 64.2平米,2019.01.22,青年湖东里,2室1厅1厨1卫,中楼层(共6层),64.2㎡,板楼,东 西,1992,101103233713,2018-08-22,满五年,519,1,539,153,1,46,147,5512
青年湖东里 3室1厅 65.76平米,2019.01.25,青年湖东里,3室1厅1厨1卫,中楼层(共5层),65.76㎡,板楼,南 北,1980,101102902401,2018-05-23,暂无数据,587,1,625,248,1,90,2,暂无数据
青年湖东里 2室1厅 61.2平米,2019.01.27,青年湖东里,2室1厅1厨1卫,高楼层(共6层),61.2㎡,板楼,南 北,1994,101103409125,2018-09-23,满五年,565,1,581,126,1,30,71,3390
青年湖东里 3室1厅 67.55平米,2019.02,青年湖东里,3室1厅1厨1卫,中楼层(共5层),67.55㎡,板楼,南 北,1980,101102820380,2018-04-29,满两年,604-667,1,670,278,1,38,59,1828
青年湖东里 1室1厅 50.82平米,2019.02.25,青年湖东里,1室1厅1厨1卫,低楼层(共18层),50.82㎡,塔楼,南,1988,101103688961,2018-11-11,满五年,478,1,495,107,1,22,48,3497
青年湖东里 2室1厅 41.45平米,2019.02.27,青年湖东里,2室1厅1厨1卫,底层(共6层),41.45㎡,板楼,东北,1990,101104131401,2019-02-24,暂无数据,402,1,420,3,0,9,0,20
青年湖东里 2室1厅 50.62平米,2019.02.28,青年湖东里,2室1厅1厨1卫,顶层(共5层),50.62㎡,板楼,南 北,1980,101104117437,2019-02-22,满五年,456,1,480,6,1,6,28,255
