title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
青年湖北里 2室1厅 73.59平米,2019.08.25,青年湖北里,2室1厅1厨1卫,低楼层(共12层),73.59㎡,板塔结合,南 北,1996,101105309220,2019-07-26,暂无数据,645,1,710,30,1,25,37,1084
青年湖北里 2室1厅 78.48平米,2018.07.09,青年湖北里,2室1厅1厨1卫,高楼层(共18层),78.48㎡,塔楼,西北,1999,101103009607,2018-06-23,满五年,710,1,735,17,0,11,7,511
青年湖北里 2室1厅 75.43平米,2018.09.15,青年湖北里,2室1厅1厨1卫,低楼层(共18层),75.43㎡,塔楼,东南,1999,101103268439,2018-08-31,满五年,750,1,750,15,1,13,14,515
青年湖北里 2室1厅 78.48平米,2018.09.26,青年湖北里,2室1厅1厨1卫,低楼层(共18层),78.48㎡,塔楼,东北,1999,101102920491,2018-05-29,满五年,700,1,740,121,0,69,33,3065
青年湖北里 2室1厅 78.48平米,2018.11,青年湖北里,2室1厅1厨1卫,底层(共18层),78.48㎡,塔楼,西北,1999,101102244181,2017-10-28,满五年,651-720,1,715,369,1,21,88,10033
青年湖北里 3室1厅 69.44平米,2018.12.15,青年湖北里,3室1厅1厨1卫,高楼层(共6层),69.44㎡,板楼,南 北,1988,101103555805,2018-10-19,满五年,580,1,595,58,1,57,104,3685
青年湖北里 2室1厅 60.76平米,2019.01,青年湖北里,2室1厅1厨1卫,中楼层(共18层),60.76㎡,塔楼,南,1999,101103462509,2018-10-04,暂无数据,561-620,1,649,89,1,21,65,3415
青年湖北里 3室1厅 77.33平米,2019.02,青年湖北里,3室1厅1厨1卫,底层(共6层),77.33㎡,板楼,东 西,1988,101102313700,2017-11-17,满五年,613-678,1,670,441,1,141,232,14351
青年湖北里 1室1厅 56.36平米,2019.03,青年湖北里,1室1厅1厨1卫,中楼层(共10层),56.36㎡,板塔结合,南,1997,101102245524,2017-10-29,满五年,494-546,1,540,489,1,54,190,9313
青年湖北里 3室1厅 78.66平米,2019.03.14,青年湖北里,3室1厅1厨1卫,中楼层(共6层),78.66㎡,板楼,东 西,1988,101102904869,2018-05-24,满五年,610,1,620,295,1,5,180,7212
青年湖北里 2室1厅 43.32平米,2019.06.03,青年湖北里,2室1厅1厨1卫,低楼层(共6层),43.32㎡,板楼,南,1988,101104663713,2019-05-07,暂无数据,436,1,460,28,1,2,0,暂无数据
青年湖北里 3室1厅 66.95平米,2019.07.28,青年湖北里,3室1厅1厨1卫,中楼层(共6层),66.95㎡,板楼,南 北,1988,101104828573,2019-05-29,满五年,650,1,690,60,0,23,39,1190
青年湖北里 1室1厅 60.76平米,2019.08.25,青年湖北里,1室1厅1厨1卫,高楼层(共18层),60.76㎡,塔楼,南,1999,101105429003,2019-08-10,满五年,580,1,620,16,0,2,1,52
青年湖北里 1室1厅 39.21平米,2018.04.13,青年湖北里,1室1厅1厨1卫,顶层(共6层),39.21㎡,板楼,南,1988,101102628249,2018-03-09,满五年,376,1,385,36,1,13,0,暂无数据
青年湖北里 2室1厅 56.63平米,2018.04.30,青年湖北里,2室1厅1厨1卫,中楼层(共6层),56.63㎡,板楼,南 北,1988,101102581068,2018-02-26,满五年,485,1,508,63,1,3,86,2132
青年湖北里 1室1厅 49.12平米,2018.05.03,青年湖北里,1室1厅1厨1卫,高楼层(共12层),49.12㎡,板塔结合,南,1996,101102571767,2018-02-25,满五年,470,1,480,68,1,31,7,367
青年湖北里 2室1厅 56.63平米,2017.09.08,青年湖北里,2室1厅1厨1卫,中楼层(共6层),56.63㎡,板楼,南 北,1988,101102040796,2017-09-05,满五年,515,1,530,4,0,5,22,287
青年湖北里 2室1厅 75.43平米,2017.09.08,青年湖北里,2室1厅1厨1卫,低楼层(共18层),75.43㎡,塔楼,西南,1999,101101551753,2017-05-06,满五年,710,1,766,126,1,32,184,8455
青年湖北里 3室1厅 86.63平米,2017.10.24,青年湖北里,3室1厅1厨1卫,中楼层(共12层),86.63㎡,板塔结合,南 西 北,1996,101101662791,2017-06-04,满五年,900,1,909,142,1,15,24,595
青年湖北里 1室1厅 56.36平米,2017.11,青年湖北里,1室1厅1厨1卫,中楼层(共10层),56.36㎡,板塔结合,南,2004,101102232234,2017-10-25,满五年,521-576,1,575,7,1,5,30,1234
青年湖北里 1室1厅 60.76平米,2017.12.19,青年湖北里,1室1厅1厨1卫,底层(共18层),60.76㎡,塔楼,南,1999,101102197786,2017-10-16,满五年,515,1,532,64,1,25,42,2682
青年湖北里 2室1厅 50.35平米,2018.01.27,青年湖北里,2室1厅1厨1卫,顶层(共6层),50.35㎡,板楼,东北,1988,101102226396,2017-10-23,满五年,425,1,453,96,1,30,94,3330
青年湖北里 2室1厅 59.45平米,2018.03,青年湖北里,2室1厅1厨1卫,高楼层(共6层),59.45㎡,板楼,东 西,1988,101102198259,2017-10-16,满五年,452-499,1,480,136,1,11,95,5263
青年湖北里 2室1厅 54.47平米,2018.03.24,青年湖北里,2室1厅1厨1卫,高楼层(共6层),54.47㎡,板楼,南 北,1987,101102532323,2018-01-31,满两年,480,2,490,52,1,23,36,1437
青年湖北里 2室1厅 53.67平米,2018.04,青年湖北里,2室1厅1厨1卫,低楼层(共6层),53.67㎡,板楼,南 北,1988,101101921310,2017-08-08,暂无数据,473-523,1,513,237,1,79,29,1239
青年湖北里 2室1厅 56.63平米,2018.05.12,青年湖北里,2室1厅1厨1卫,低楼层(共6层),56.63㎡,板楼,南 北,1988,101102679033,2018-03-21,满五年,519,1,526,53,1,30,4,147
