title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
首开知语城 2室2厅 133.13平米,2019.08.15,首开知语城,2室2厅1厨2卫,中楼层(共20层),133.13㎡,板楼,南 北,2009,101103964363,2019-01-10,满五年,1075,1,1100,218,1,98,34,1559
首开知语城 1室1厅 81.79平米,2019.03,首开知语城,1室1厅1厨1卫,中楼层(共13层),81.79㎡,板楼,南,2008,101103324008,2018-09-12,满五年,569-628,1,640,170,1,34,55,1460
首开知语城 3室2厅 159.98平米,2019.04,首开知语城,3室2厅1厨2卫,中楼层(共21层),159.98㎡,板楼,南,2008,101104418600,2019-04-03,暂无数据,1169-1192,1,1250,暂无数据,1,6,0,暂无数据
首开知语城 2室1厅 91.3平米,2019.04.17,首开知语城,2室1厅1厨1卫,低楼层(共22层),91.3㎡,塔楼,南,2009,101103574955,2018-10-22,满五年,750,1,780,178,1,121,104,4784
首开知语城 2室1厅 89.93平米,2019.04.22,首开知语城,2室1厅1厨1卫,顶层(共22层),89.93㎡,塔楼,东 南 北,2009,101104324527,2019-03-21,满两年,628,2,645,32,1,9,44,900
首开知语城 2室2厅 127.44平米,2019.04.24,首开知语城,2室2厅1厨2卫,中楼层(共20层),127.44㎡,板楼,南 北,2009,101104388867,2019-03-30,满五年,1060,1,1100,26,1,15,13,518
首开知语城 2室2厅 128.1平米,2019.05,首开知语城,2室2厅1厨2卫,低楼层(共21层),128.1㎡,板楼,南 北,2008,101104592336,2019-04-27,满五年,1050-1061,1,1100,4,1,22,24,1100
首开知语城 2室1厅 137.71平米,2019.05.04,首开知语城,2室1厅1厨2卫,高楼层(共13层),137.71㎡,板楼,南 北,2008,101103734005,2018-11-19,暂无数据,1075,2,1120,166,1,34,26,2879
首开知语城 2室2厅 91.28平米,2019.06.05,首开知语城,2室2厅1厨1卫,中楼层(共22层),91.28㎡,塔楼,南,2009,101103340683,2018-09-15,暂无数据,750,1,799,263,1,126,130,4330
首开知语城 3室1厅 103.19平米,2019.06.07,首开知语城,3室1厅1厨1卫,高楼层(共22层),103.19㎡,塔楼,东南,2009,101103209117,2018-08-16,满五年,837,1,880,296,1,4,96,7861
首开知语城 2室1厅 91.28平米,2019.06.21,首开知语城,2室1厅1厨1卫,低楼层(共22层),91.28㎡,塔楼,南,2009,101104662826,2019-05-07,暂无数据,700,1,760,45,0,2,0,3
首开知语城 3室2厅 171.81平米,2019.07.03,首开知语城,3室2厅1厨2卫,高楼层(共13层),171.81㎡,板楼,南 北,2008,101105024081,2019-06-23,满五年,1200,1,1250,11,0,8,19,331
首开知语城 2室1厅 89.93平米,2019.07.17,首开知语城,2室1厅1厨1卫,高楼层(共22层),89.93㎡,塔楼,东北,2009,101104939880,2019-06-13,满五年,622,1,635,35,1,34,39,725
首开知语城 2室2厅 84.93平米,2019.08.04,首开知语城,2室2厅1厨1卫,高楼层(共22层),84.93㎡,塔楼,西,2009,101104669470,2019-05-08,满五年,650,1,688,89,1,34,61,1471
首开知语城 2室1厅 89.93平米,2019.01,首开知语城,2室1厅1厨1卫,中楼层(共22层),89.93㎡,塔楼,西北,2009,101103199377,2018-08-14,满五年,547-604,1,630,141,1,46,39,4619
首开知语城 2室1厅 89.9平米,2019.01,首开知语城,2室1厅1厨1卫,中楼层(共22层),89.9㎡,塔楼,东 北,2009,101103676404,2018-11-09,满五年,566-625,1,628,54,1,27,31,2167
首开知语城 2室2厅 128.1平米,2018.09.18,首开知语城,2室2厅1厨2卫,中楼层(共21层),128.1㎡,板楼,南 北,2008,101103196906,2018-08-13,满五年,1100,1,1140,37,0,8,0,暂无数据
首开知语城 2室1厅 91.28平米,2018.12,首开知语城,2室1厅1厨1卫,中楼层(共22层),91.28㎡,塔楼,南,2009,101103205804,2018-08-15,暂无数据,694-767,1,760,108,1,10,57,3075
首开知语城 2室2厅 91.3平米,2018.12.02,首开知语城,2室2厅1厨1卫,高楼层(共22层),91.3㎡,塔楼,南,2009,101103436715,2018-09-28,满五年,690,2,750,65,1,42,55,2500
首开知语城 2室2厅 125.71平米,2018.12.02,首开知语城,2室2厅1厨2卫,顶层(共20层),125.71㎡,板楼,南 北,2009,101103319633,2018-09-11,满五年,880,1,977,82,1,84,31,1892
